Date;"Total Yield in Wh";"Target Yield Wh";"Difference Target / Actual %"
12/01/2020;132381;0;-100.00
12/02/2020;131053;0;-100.00
12/03/2020;62667;0;-100.00
12/04/2020;127089;0;-100.00
12/05/2020;86692;0;-100.00
12/06/2020;55797;0;-100.00
12/07/2020;8893;0;-100.00
12/08/2020;8674;0;-100.00
12/09/2020;125076;0;-100.00
12/10/2020;115446;0;-100.00
12/11/2020;2875;0;-100.00
12/12/2020;1376;0;-100.00
12/13/2020;2805;0;-100.00
12/14/2020;16784;0;-100.00
12/15/2020;11142;0;-100.00
12/16/2020;19210;0;-100.00
12/17/2020;10626;0;-100.00
12/18/2020;18790;0;-100.00
12/19/2020;3998;0;-100.00
12/20/2020;11796;0;-100.00
12/21/2020;30430;0;-100.00
12/22/2020;16109;0;-100.00
12/23/2020;36038;0;-100.00
12/24/2020;22933;0;-100.00
12/25/2020;125060;0;-100.00
12/26/2020;96460;0;-100.00
12/27/2020;14941;0;-100.00
12/28/2020;74440;0;-100.00
12/29/2020;17155;0;-100.00
12/30/2020;11610;0;-100.00
12/31/2020;14676;0;-100.00
01/01/2021;6006;0;-100.00
01/02/2021;10819;0;-100.00
01/03/2021;12560;0;-100.00
01/04/2021;9906;0;-100.00
01/05/2021;91839;0;-100.00
01/06/2021;16093;0;-100.00
01/07/2021;14864;0;-100.00
01/08/2021;10826;0;-100.00
01/09/2021;63708;0;-100.00
01/10/2021;8185;0;-100.00
01/11/2021;33612;0;-100.00
01/12/2021;110572;0;-100.00
01/13/2021;35317;0;-100.00
01/14/2021;22518;0;-100.00
01/15/2021;16379;0;-100.00
01/16/2021;11501;0;-100.00
01/17/2021;31936;0;-100.00
01/18/2021;14927;0;-100.00
01/19/2021;27383;0;-100.00
01/20/2021;92248;0;-100.00
01/21/2021;130986;0;-100.00
01/22/2021;142494;0;-100.00
01/23/2021;109361;0;-100.00
01/24/2021;3453;0;-100.00
01/25/2021;29716;0;-100.00
01/26/2021;2092;0;-100.00
01/27/2021;57944;0;-100.00
01/28/2021;40906;0;-100.00
01/29/2021;16666;0;-100.00
01/30/2021;11165;0;-100.00
01/31/2021;1356;0;-100.00
02/01/2021;54870;0;-100.00
02/02/2021;44952;0;-100.00
02/03/2021;61005;0;-100.00
02/04/2021;1901;0;-100.00
02/05/2021;14829;0;-100.00
02/06/2021;9458;0;-100.00
02/07/2021;32180;0;-100.00
02/08/2021;15273;0;-100.00
02/09/2021;56164;0;-100.00
02/10/2021;41181;0;-100.00
02/11/2021;31437;0;-100.00
02/12/2021;8738;0;-100.00
02/13/2021;3362;0;-100.00
02/14/2021;5217;0;-100.00
02/15/2021;16011;0;-100.00
02/16/2021;52764;0;-100.00
02/17/2021;72998;0;-100.00
02/18/2021;60238;0;-100.00
02/19/2021;53798;0;-100.00
02/20/2021;71542;0;-100.00
02/21/2021;16327;0;-100.00
02/22/2021;30982;0;-100.00
02/23/2021;70113;0;-100.00
02/24/2021;61077;0;-100.00
02/25/2021;151962;0;-100.00
02/26/2021;138120;0;-100.00
02/27/2021;144367;0;-100.00
02/28/2021;30412;0;-100.00
03/01/2021;139999;0;-100.00
03/02/2021;156105;0;-100.00
03/03/2021;152949;0;-100.00
03/04/2021;150128;0;-100.00
03/05/2021;141760;0;-100.00
03/06/2021;154035;0;-100.00
03/07/2021;127620;0;-100.00
03/08/2021;145417;0;-100.00
03/09/2021;130309;0;-100.00
03/10/2021;31445;0;-100.00
03/11/2021;111469;0;-100.00
03/12/2021;131840;0;-100.00
03/13/2021;138655;0;-100.00
03/14/2021;84318;0;-100.00
03/15/2021;10647;0;-100.00
03/16/2021;18982;0;-100.00
03/17/2021;14207;0;-100.00
03/18/2021;145012;0;-100.00
03/19/2021;154105;0;-100.00
03/20/2021;155495;0;-100.00
03/21/2021;130614;0;-100.00
03/22/2021;43671;0;-100.00
03/23/2021;22807;0;-100.00
03/24/2021;15339;0;-100.00
03/25/2021;25154;0;-100.00
03/26/2021;75552;0;-100.00
03/27/2021;10350;0;-100.00
03/28/2021;151943;0;-100.00
03/29/2021;150561;0;-100.00
03/30/2021;125008;0;-100.00
03/31/2021;96677;0;-100.00
04/01/2021;155148;0;-100.00
04/02/2021;152812;0;-100.00
04/03/2021;147720;0;-100.00
04/04/2021;145418;0;-100.00
04/05/2021;80063;0;-100.00
04/06/2021;106071;0;-100.00
04/07/2021;92694;0;-100.00
04/08/2021;58820;0;-100.00
04/09/2021;53771;0;-100.00
04/10/2021;20395;0;-100.00
04/11/2021;36016;0;-100.00
04/12/2021;107173;0;-100.00
04/13/2021;44886;0;-100.00
04/14/2021;56256;0;-100.00
04/15/2021;67134;0;-100.00
04/16/2021;140160;0;-100.00
04/17/2021;147186;0;-100.00
04/18/2021;99191;0;-100.00
04/19/2021;56194;0;-100.00
04/20/2021;51206;0;-100.00
04/21/2021;105750;0;-100.00
04/22/2021;149527;0;-100.00
04/23/2021;96002;0;-100.00
04/24/2021;77286;0;-100.00
04/25/2021;127876;0;-100.00
04/26/2021;98132;0;-100.00
04/27/2021;90411;0;-100.00
04/28/2021;86001;0;-100.00
04/29/2021;106741;0;-100.00
04/30/2021;148342;0;-100.00
05/01/2021;117943;0;-100.00
05/02/2021;137009;0;-100.00
05/03/2021;30879;0;-100.00
05/04/2021;75931;0;-100.00
05/05/2021;132698;0;-100.00
05/06/2021;104402;0;-100.00
05/07/2021;104201;0;-100.00
05/08/2021;110769;0;-100.00
05/09/2021;128550;0;-100.00
05/10/2021;109689;0;-100.00
05/11/2021;149626;0;-100.00
05/12/2021;143235;0;-100.00
05/13/2021;123397;0;-100.00
05/14/2021;126668;0;-100.00
05/15/2021;34953;0;-100.00
05/16/2021;100932;0;-100.00
05/17/2021;126715;0;-100.00
05/18/2021;62807;0;-100.00
05/19/2021;43566;0;-100.00
05/20/2021;73305;0;-100.00
05/21/2021;45149;0;-100.00
05/22/2021;78319;0;-100.00
05/23/2021;38200;0;-100.00
05/24/2021;53479;0;-100.00
05/25/2021;44664;0;-100.00
05/26/2021;65726;0;-100.00
05/27/2021;10572;0;-100.00
05/28/2021;12356;0;-100.00
05/29/2021;71915;0;-100.00
05/30/2021;59232;0;-100.00
05/31/2021;61742;0;-100.00
06/01/2021;64551;0;-100.00
06/02/2021;125139;0;-100.00
06/03/2021;132316;0;-100.00
06/04/2021;125185;0;-100.00
06/05/2021;131007;0;-100.00
06/06/2021;114973;0;-100.00
06/07/2021;72281;0;-100.00
06/08/2021;116510;0;-100.00
06/09/2021;121117;0;-100.00
06/10/2021;126791;0;-100.00
06/11/2021;88219;0;-100.00
06/12/2021;127659;0;-100.00
06/13/2021;130869;0;-100.00
06/14/2021;122746;0;-100.00
06/15/2021;129446;0;-100.00
06/16/2021;132516;0;-100.00
06/17/2021;117835;0;-100.00
06/18/2021;127100;0;-100.00
06/19/2021;131638;0;-100.00
06/20/2021;38182;0;-100.00
06/21/2021;113967;0;-100.00
06/22/2021;123941;0;-100.00
06/23/2021;79914;0;-100.00
06/24/2021;38666;0;-100.00
06/25/2021;65018;0;-100.00
06/26/2021;44899;0;-100.00
06/27/2021;75690;0;-100.00
06/28/2021;78815;0;-100.00
06/29/2021;48624;0;-100.00
06/30/2021;108892;0;-100.00
07/01/2021;131778;0;-100.00
07/02/2021;133722;0;-100.00
07/03/2021;126930;0;-100.00
07/04/2021;121295;0;-100.00
07/05/2021;121806;0;-100.00
07/06/2021;115801;0;-100.00
07/07/2021;32734;0;-100.00
07/08/2021;43065;0;-100.00
07/09/2021;105141;0;-100.00
07/10/2021;94896;0;-100.00
07/11/2021;118485;0;-100.00
07/12/2021;47205;0;-100.00
07/13/2021;87587;0;-100.00
07/14/2021;48931;0;-100.00
07/15/2021;83591;0;-100.00
07/16/2021;116519;0;-100.00
07/17/2021;116591;0;-100.00
07/18/2021;123143;0;-100.00
07/19/2021;124248;0;-100.00
07/20/2021;113982;0;-100.00
07/21/2021;62702;0;-100.00
07/22/2021;106622;0;-100.00
07/23/2021;108887;0;-100.00
07/24/2021;93073;0;-100.00
07/25/2021;131111;0;-100.00
07/26/2021;121738;0;-100.00
07/27/2021;87038;0;-100.00
07/28/2021;78576;0;-100.00
07/29/2021;50971;0;-100.00
07/30/2021;42553;0;-100.00
07/31/2021;59350;0;-100.00
08/01/2021;57882;0;-100.00
08/02/2021;53787;0;-100.00
08/03/2021;52427;0;-100.00
08/04/2021;53399;0;-100.00
08/05/2021;49418;0;-100.00
08/06/2021;51775;0;-100.00
08/07/2021;16458;0;-100.00
08/08/2021;46357;0;-100.00
08/09/2021;26646;0;-100.00
08/10/2021;49756;0;-100.00
08/11/2021;45085;0;-100.00
08/12/2021;122479;0;-100.00
08/13/2021;135164;0;-100.00
08/14/2021;137537;0;-100.00
08/15/2021;134582;0;-100.00
08/16/2021;132797;0;-100.00
08/17/2021;135972;0;-100.00
08/18/2021;115534;0;-100.00
08/19/2021;114316;0;-100.00
08/20/2021;124850;0;-100.00
08/21/2021;82337;0;-100.00
08/22/2021;138403;0;-100.00
08/23/2021;107020;0;-100.00
08/24/2021;70412;0;-100.00
08/25/2021;81578;0;-100.00
08/26/2021;104664;0;-100.00
08/27/2021;96615;0;-100.00
08/28/2021;115277;0;-100.00
08/29/2021;126620;0;-100.00
08/30/2021;134472;0;-100.00
08/31/2021;60758;0;-100.00
09/01/2021;135824;0;-100.00
09/02/2021;107396;0;-100.00
09/03/2021;21565;0;-100.00
09/04/2021;22518;0;-100.00
09/05/2021;129631;0;-100.00
09/06/2021;141975;0;-100.00
09/07/2021;66582;0;-100.00
09/08/2021;111353;0;-100.00
09/09/2021;105345;0;-100.00
09/10/2021;138098;0;-100.00
09/11/2021;103037;0;-100.00
09/12/2021;28775;0;-100.00
09/13/2021;25993;0;-100.00
09/14/2021;75316;0;-100.00
09/15/2021;141497;0;-100.00
09/16/2021;142013;0;-100.00
09/17/2021;114956;0;-100.00
09/18/2021;142114;0;-100.00
09/19/2021;125279;0;-100.00
09/20/2021;64002;0;-100.00
09/21/2021;97962;0;-100.00
09/22/2021;126707;0;-100.00
09/23/2021;146267;0;-100.00
09/24/2021;112243;0;-100.00
09/25/2021;119299;0;-100.00
09/26/2021;113917;0;-100.00
09/27/2021;134226;0;-100.00
09/28/2021;144021;0;-100.00
09/29/2021;134300;0;-100.00
09/30/2021;128336;0;-100.00
10/01/2021;115852;0;-100.00
10/02/2021;58065;0;-100.00
10/03/2021;36651;0;-100.00
10/04/2021;30839;0;-100.00
10/05/2021;30793;0;-100.00
10/06/2021;91673;0;-100.00
10/07/2021;11708;0;-100.00
10/08/2021;47274;0;-100.00
10/09/2021;124038;0;-100.00
10/10/2021;23504;0;-100.00
10/11/2021;11345;0;-100.00
10/12/2021;19785;0;-100.00
10/13/2021;25753;0;-100.00
10/14/2021;106163;0;-100.00
10/15/2021;48798;0;-100.00
10/16/2021;137818;0;-100.00
