Date;"Total Yield in Wh";"Target Yield Wh";"Difference Target / Actual %"
01/01/2022;1356;0;-100.00
01/02/2022;35778;0;-100.00
01/03/2022;57847;0;-100.00
01/04/2022;30174;0;-100.00
01/05/2022;20884;0;-100.00
01/06/2022;39967;0;-100.00
01/07/2022;62730;0;-100.00
01/08/2022;21268;0;-100.00
01/09/2022;69802;0;-100.00
01/10/2022;70827;0;-100.00
01/11/2022;66100;0;-100.00
01/12/2022;44266;0;-100.00
01/13/2022;70648;0;-100.00
01/14/2022;12614;0;-100.00
01/15/2022;99488;0;-100.00
01/16/2022;44783;0;-100.00
01/17/2022;71277;0;-100.00
01/18/2022;80681;0;-100.00
01/19/2022;133122;0;-100.00
01/20/2022;137612;0;-100.00
01/21/2022;138906;0;-100.00
01/22/2022;112870;0;-100.00
01/23/2022;114157;0;-100.00
01/24/2022;16849;0;-100.00
01/25/2022;81054;0;-100.00
01/26/2022;91245;0;-100.00
01/27/2022;45475;0;-100.00
01/28/2022;134409;0;-100.00
01/29/2022;62031;0;-100.00
01/30/2022;58317;0;-100.00
01/31/2022;102677;0;-100.00
02/01/2022;97957;0;-100.00
02/02/2022;41441;0;-100.00
02/03/2022;131056;0;-100.00
02/04/2022;51486;0;-100.00
02/05/2022;76614;0;-100.00
02/06/2022;93491;0;-100.00
02/07/2022;139705;0;-100.00
02/08/2022;96718;0;-100.00
02/09/2022;20815;0;-100.00
02/10/2022;65923;0;-100.00
02/11/2022;34649;0;-100.00
02/12/2022;133405;0;-100.00
02/13/2022;141520;0;-100.00
02/14/2022;95668;0;-100.00
02/15/2022;91905;0;-100.00
02/16/2022;7358;0;-100.00
02/17/2022;21326;0;-100.00
02/18/2022;111099;0;-100.00
02/19/2022;141284;0;-100.00
02/20/2022;141364;0;-100.00
02/21/2022;17024;0;-100.00
02/22/2022;9588;0;-100.00
02/23/2022;134926;0;-100.00
02/24/2022;26438;0;-100.00
02/25/2022;94526;0;-100.00
02/26/2022;151710;0;-100.00
02/27/2022;145202;0;-100.00
02/28/2022;125628;0;-100.00
03/01/2022;84972;0;-100.00
03/02/2022;46680;0;-100.00
03/03/2022;101302;0;-100.00
03/04/2022;81392;0;-100.00
03/05/2022;35504;0;-100.00
03/06/2022;44620;0;-100.00
03/07/2022;25514;0;-100.00
03/08/2022;130822;0;-100.00
03/09/2022;150256;0;-100.00
03/10/2022;94762;0;-100.00
03/11/2022;141662;0;-100.00
03/12/2022;156768;0;-100.00
03/13/2022;148848;0;-100.00
03/14/2022;103150;0;-100.00
03/15/2022;124872;0;-100.00
03/16/2022;139354;0;-100.00
03/17/2022;17382;0;-100.00
03/18/2022;13146;0;-100.00
03/19/2022;51368;0;-100.00
03/20/2022;145026;0;-100.00
03/21/2022;114744;0;-100.00
03/22/2022;5738;0;-100.00
03/23/2022;18212;0;-100.00
03/24/2022;25258;0;-100.00
03/25/2022;38432;0;-100.00
03/26/2022;60254;0;-100.00
03/27/2022;155846;0;-100.00
03/28/2022;148610;0;-100.00
03/29/2022;38946;0;-100.00
03/30/2022;12940;0;-100.00
03/31/2022;12166;0;-100.00
04/01/2022;139392;0;-100.00
04/02/2022;25062;0;-100.00
04/03/2022;114858;0;-100.00
04/04/2022;29236;0;-100.00
04/05/2022;75876;0;-100.00
04/06/2022;64564;0;-100.00
04/07/2022;49066;0;-100.00
04/08/2022;29786;0;-100.00
04/09/2022;150970;0;-100.00
04/10/2022;112898;0;-100.00
04/11/2022;125092;0;-100.00
04/12/2022;59504;0;-100.00
04/13/2022;24724;0;-100.00
04/14/2022;116422;0;-100.00
04/15/2022;82984;0;-100.00
04/16/2022;133264;0;-100.00
04/17/2022;141406;0;-100.00
04/18/2022;32600;0;-100.00
04/19/2022;145500;0;-100.00
04/20/2022;20116;0;-100.00
04/21/2022;147894;0;-100.00
04/22/2022;9846;0;-100.00
04/23/2022;127708;0;-100.00
04/24/2022;116830;0;-100.00
04/25/2022;52188;0;-100.00
04/26/2022;90018;0;-100.00
04/27/2022;74222;0;-100.00
04/28/2022;42986;0;-100.00
04/29/2022;69506;0;-100.00
04/30/2022;37388;0;-100.00
05/01/2022;23218;0;-100.00
05/02/2022;33148;0;-100.00
05/03/2022;28560;0;-100.00
05/04/2022;141922;0;-100.00
05/05/2022;104566;0;-100.00
05/06/2022;72198;0;-100.00
05/07/2022;142782;0;-100.00
05/08/2022;34344;0;-100.00
05/09/2022;126284;0;-100.00
05/10/2022;99088;0;-100.00
05/11/2022;94124;0;-100.00
05/12/2022;121574;0;-100.00
05/13/2022;126802;0;-100.00
05/14/2022;133272;0;-100.00
05/15/2022;100622;0;-100.00
05/16/2022;124318;0;-100.00
05/17/2022;85098;0;-100.00
05/18/2022;50722;0;-100.00
05/19/2022;73428;0;-100.00
05/20/2022;21448;0;-100.00
05/21/2022;89794;0;-100.00
05/22/2022;122892;0;-100.00
05/23/2022;92552;0;-100.00
05/24/2022;62478;0;-100.00
05/25/2022;17556;0;-100.00
05/26/2022;53094;0;-100.00
05/27/2022;70716;0;-100.00
05/28/2022;95782;0;-100.00
05/29/2022;82654;0;-100.00
05/30/2022;125390;0;-100.00
05/31/2022;69242;0;-100.00
06/01/2022;124922;0;-100.00
06/02/2022;130016;0;-100.00
06/03/2022;137462;0;-100.00
06/04/2022;36936;0;-100.00
06/05/2022;82414;0;-100.00
06/06/2022;43344;0;-100.00
06/07/2022;109828;0;-100.00
06/08/2022;21784;0;-100.00
06/09/2022;132144;0;-100.00
06/10/2022;92890;0;-100.00
06/11/2022;42558;0;-100.00
06/12/2022;67946;0;-100.00
06/13/2022;51094;0;-100.00
06/14/2022;127742;0;-100.00
06/15/2022;113450;0;-100.00
06/16/2022;132468;0;-100.00
06/17/2022;131060;0;-100.00
06/18/2022;133216;0;-100.00
06/19/2022;133644;0;-100.00
06/20/2022;128596;0;-100.00
06/21/2022;126108;0;-100.00
06/22/2022;127922;0;-100.00
06/23/2022;128118;0;-100.00
06/24/2022;129562;0;-100.00
06/25/2022;15946;0;-100.00
06/26/2022;130430;0;-100.00
06/27/2022;133350;0;-100.00
06/28/2022;125164;0;-100.00
06/29/2022;128672;0;-100.00
06/30/2022;118524;0;-100.00
07/01/2022;94932;0;-100.00
07/02/2022;106424;0;-100.00
07/03/2022;126930;0;-100.00
07/04/2022;45158;0;-100.00
07/05/2022;69370;0;-100.00
07/06/2022;93672;0;-100.00
07/07/2022;100082;0;-100.00
07/08/2022;73252;0;-100.00
07/09/2022;119000;0;-100.00
07/10/2022;116642;0;-100.00
07/11/2022;90932;0;-100.00
07/12/2022;129754;0;-100.00
07/13/2022;130964;0;-100.00
07/14/2022;132714;0;-100.00
07/15/2022;29242;0;-100.00
07/16/2022;105114;0;-100.00
07/17/2022;116906;0;-100.00
07/18/2022;121402;0;-100.00
07/19/2022;102390;0;-100.00
07/20/2022;110656;0;-100.00
07/21/2022;118516;0;-100.00
07/22/2022;128602;0;-100.00
07/23/2022;97592;0;-100.00
07/24/2022;99118;0;-100.00
07/25/2022;131282;0;-100.00
07/26/2022;109332;0;-100.00
07/27/2022;110078;0;-100.00
07/28/2022;122176;0;-100.00
07/29/2022;112266;0;-100.00
07/30/2022;108706;0;-100.00
07/31/2022;124660;0;-100.00
08/01/2022;95618;0;-100.00
08/02/2022;134528;0;-100.00
08/03/2022;47898;0;-100.00
08/04/2022;132980;0;-100.00
08/05/2022;133580;0;-100.00
08/06/2022;110270;0;-100.00
08/07/2022;40036;0;-100.00
08/08/2022;44054;0;-100.00
08/09/2022;138626;0;-100.00
08/10/2022;129976;0;-100.00
08/11/2022;122116;0;-100.00
08/12/2022;37854;0;-100.00
08/13/2022;50744;0;-100.00
08/14/2022;22418;0;-100.00
08/15/2022;110212;0;-100.00
08/16/2022;113294;0;-100.00
08/17/2022;134968;0;-100.00
08/18/2022;122732;0;-100.00
08/19/2022;61708;0;-100.00
08/20/2022;52404;0;-100.00
08/21/2022;80604;0;-100.00
08/22/2022;124356;0;-100.00
08/23/2022;111514;0;-100.00
08/24/2022;136642;0;-100.00
08/25/2022;75326;0;-100.00
08/26/2022;135118;0;-100.00
08/27/2022;82864;0;-100.00
08/28/2022;59150;0;-100.00
08/29/2022;75668;0;-100.00
08/30/2022;142490;0;-100.00
08/31/2022;138086;0;-100.00
09/01/2022;134470;0;-100.00
09/02/2022;96238;0;-100.00
09/03/2022;19464;0;-100.00
09/04/2022;25346;0;-100.00
09/05/2022;64328;0;-100.00
09/06/2022;127620;0;-100.00
09/07/2022;130288;0;-100.00
09/08/2022;123468;0;-100.00
09/09/2022;140602;0;-100.00
09/10/2022;80492;0;-100.00
09/11/2022;5102;0;-100.00
09/12/2022;17346;0;-100.00
09/13/2022;137994;0;-100.00
09/14/2022;126754;0;-100.00
09/15/2022;116334;0;-100.00
09/16/2022;134528;0;-100.00
09/17/2022;70816;0;-100.00
09/18/2022;85420;0;-100.00
09/19/2022;140778;0;-100.00
09/20/2022;90292;0;-100.00
09/21/2022;83274;0;-100.00
09/22/2022;135020;0;-100.00
09/23/2022;66718;0;-100.00
09/24/2022;19484;0;-100.00
09/25/2022;56902;0;-100.00
09/26/2022;95116;0;-100.00
09/27/2022;116308;0;-100.00
09/28/2022;148708;0;-100.00
09/29/2022;141438;0;-100.00
09/30/2022;142072;0;-100.00
10/01/2022;141568;0;-100.00
10/02/2022;118428;0;-100.00
10/03/2022;142884;0;-100.00
10/04/2022;136374;0;-100.00
10/05/2022;103536;0;-100.00
10/06/2022;59990;0;-100.00
10/07/2022;112822;0;-100.00
10/08/2022;147258;0;-100.00
10/09/2022;90850;0;-100.00
10/10/2022;139636;0;-100.00
10/11/2022;76218;0;-100.00
10/12/2022;62574;0;-100.00
10/13/2022;45448;0;-100.00
10/14/2022;45596;0;-100.00
10/15/2022;140508;0;-100.00
10/16/2022;18324;0;-100.00
10/17/2022;38468;0;-100.00
10/18/2022;144160;0;-100.00
10/19/2022;133532;0;-100.00
10/20/2022;120268;0;-100.00
10/21/2022;133272;0;-100.00
10/22/2022;134720;0;-100.00
10/23/2022;111596;0;-100.00
10/24/2022;48794;0;-100.00
10/25/2022;12846;0;-100.00
10/26/2022;136838;0;-100.00
10/27/2022;106386;0;-100.00
10/28/2022;135504;0;-100.00
10/29/2022;137234;0;-100.00
10/30/2022;71502;0;-100.00
10/31/2022;123890;0;-100.00
11/01/2022;134066;0;-100.00
11/02/2022;133092;0;-100.00
11/03/2022;104824;0;-100.00
11/04/2022;6426;0;-100.00
11/05/2022;8126;0;-100.00
11/06/2022;74976;0;-100.00
11/07/2022;125248;0;-100.00
11/08/2022;118600;0;-100.00
11/09/2022;52980;0;-100.00
11/10/2022;53218;0;-100.00
11/11/2022;64682;0;-100.00
11/12/2022;25504;0;-100.00
11/13/2022;70088;0;-100.00
11/14/2022;66556;0;-100.00
11/15/2022;1052;0;-100.00
11/16/2022;10990;0;-100.00
11/17/2022;9246;0;-100.00
11/18/2022;21706;0;-100.00
11/19/2022;32582;0;-100.00
11/20/2022;57312;0;-100.00
11/21/2022;97166;0;-100.00
11/22/2022;111730;0;-100.00
11/23/2022;122848;0;-100.00
11/24/2022;30558;0;-100.00
11/25/2022;129632;0;-100.00
11/26/2022;119526;0;-100.00
11/27/2022;22710;0;-100.00
11/28/2022;71708;0;-100.00
11/29/2022;1924;0;-100.00
11/30/2022;67984;0;-100.00
12/01/2022;115302;0;-100.00
12/02/2022;46288;0;-100.00
12/03/2022;130520;0;-100.00
12/04/2022;127608;0;-100.00
12/05/2022;12912;0;-100.00
12/06/2022;6096;0;-100.00
12/07/2022;7444;0;-100.00
12/08/2022;50764;0;-100.00
12/09/2022;946;0;-100.00
12/10/2022;3154;0;-100.00
12/11/2022;5530;0;-100.00
12/12/2022;7724;0;-100.00
12/13/2022;4952;0;-100.00
12/14/2022;2640;0;-100.00
12/15/2022;384;0;-100.00
12/16/2022;1232;0;-100.00
12/17/2022;1464;0;-100.00
12/18/2022;8542;0;-100.00
12/19/2022;14030;0;-100.00
12/20/2022;38800;0;-100.00
12/21/2022;17116;0;-100.00
12/22/2022;216;0;100.00
12/23/2022;49780;0;-100.00
12/24/2022;66636;0;-100.00
12/25/2022;45788;0;-100.00
12/26/2022;46944;0;-100.00
12/27/2022;48892;0;-100.00
12/28/2022;41074;0;-100.00
12/29/2022;29896;0;-100.00
12/30/2022;50596;0;-100.00
12/31/2022;53906;0;-100.00
