Date;"Total Yield in Wh";"Target Yield Wh";"Specific Yield kWh/kWp";"Difference Target / Actual %"
01/01/2021;0;0;0.00;-100.00
01/02/2021;10;0;0.00;-100.00
01/03/2021;160;0;0.00;-100.00
01/04/2021;10;0;0.00;-100.00
01/05/2021;1110;0;0.02;-100.00
01/06/2021;640;0;0.01;-100.00
01/07/2021;690;0;0.01;-100.00
01/08/2021;470;0;0.01;-100.00
01/09/2021;3210;0;0.07;-100.00
01/10/2021;320;0;0.01;-100.00
01/11/2021;4760;0;0.10;-100.00
01/12/2021;15350;0;0.33;-100.00
01/13/2021;13680;0;0.29;-100.00
01/14/2021;13690;0;0.29;-100.00
01/15/2021;2690;0;0.06;-100.00
01/16/2021;5430;0;0.12;-100.00
01/17/2021;20280;0;0.43;-100.00
01/18/2021;2840;0;0.06;-100.00
01/19/2021;11970;0;0.26;-100.00
01/20/2021;18080;0;0.39;-100.00
01/21/2021;57500;0;1.23;-100.00
01/22/2021;81950;0;1.76;-100.00
01/23/2021;67650;0;1.45;-100.00
01/24/2021;1240;0;0.03;-100.00
01/25/2021;3520;0;0.08;-100.00
01/26/2021;0;0;0.00;-100.00
01/27/2021;0;0;0.00;-100.00
01/28/2021;20;0;0.00;-100.00
01/29/2021;0;0;0.00;-100.00
01/30/2021;0;0;0.00;-100.00
01/31/2021;0;0;0.00;-100.00
02/01/2021;0;0;0.00;-100.00
02/02/2021;0;0;0.00;-100.00
02/03/2021;0;0;0.00;-100.00
02/04/2021;0;0;0.00;-100.00
02/05/2021;0;0;0.00;-100.00
02/06/2021;0;0;0.00;-100.00
02/07/2021;0;0;0.00;-100.00
02/08/2021;0;0;0.00;-100.00
02/09/2021;0;0;0.00;-100.00
02/10/2021;0;0;0.00;-100.00
02/11/2021;0;0;0.00;-100.00
02/12/2021;0;0;0.00;-100.00
02/13/2021;0;0;0.00;-100.00
02/14/2021;0;0;0.00;-100.00
02/15/2021;0;0;0.00;-100.00
02/16/2021;0;0;0.00;-100.00
02/17/2021;0;0;0.00;-100.00
02/18/2021;0;0;0.00;-100.00
02/19/2021;0;0;0.00;-100.00
02/20/2021;0;0;0.00;-100.00
02/21/2021;0;0;0.00;-100.00
02/22/2021;0;0;0.00;-100.00
02/23/2021;140;0;0.00;-100.00
02/24/2021;250;0;0.01;-100.00
02/25/2021;3290;0;0.07;-100.00
02/26/2021;13910;0;0.30;-100.00
