Date;"Total Yield in Wh";"Target Yield Wh";"Specific Yield kWh/kWp";"Yield In $";"Target in $";"Difference Target / Actual %"
03/12/2019;26620;0;0.76;0.87;0.00;-100.00
03/13/2019;44380;0;1.27;1.46;0.00;-100.00
03/14/2019;99790;0;2.85;3.27;0.00;-100.00
03/15/2019;77330;0;2.21;2.54;0.00;-100.00
03/16/2019;191190;0;5.47;6.27;0.00;-100.00
03/17/2019;181600;0;5.19;5.96;0.00;-100.00
03/18/2019;167960;0;4.80;5.51;0.00;-100.00
03/19/2019;184970;0;5.29;6.07;0.00;-100.00
03/20/2019;86190;0;2.46;2.83;0.00;-100.00
03/21/2019;128880;0;3.68;4.23;0.00;-100.00
03/22/2019;206280;0;5.90;6.77;0.00;-100.00
03/23/2019;196220;0;5.61;6.44;0.00;-100.00
03/24/2019;45750;0;1.31;1.50;0.00;-100.00
03/25/2019;211420;0;6.04;6.93;0.00;-100.00
03/26/2019;190040;0;5.43;6.23;0.00;-100.00
03/27/2019;142300;0;4.07;4.67;0.00;-100.00
03/28/2019;180100;0;5.15;5.91;0.00;-100.00
03/29/2019;159230;0;4.55;5.22;0.00;-100.00
03/30/2019;143710;0;4.11;4.71;0.00;-100.00
03/31/2019;226730;0;6.48;7.44;0.00;-100.00
04/01/2019;125730;0;3.59;4.12;0.00;-100.00
04/02/2019;80350;0;2.30;2.64;0.00;-100.00
04/03/2019;193200;0;5.52;6.34;0.00;-100.00
04/04/2019;18210;0;0.52;0.60;0.00;-100.00
04/05/2019;148310;0;4.24;4.86;0.00;-100.00
04/06/2019;110100;0;3.15;3.61;0.00;-100.00
04/07/2019;62810;0;1.80;2.06;0.00;-100.00
04/08/2019;214680;0;6.14;7.04;0.00;-100.00
04/09/2019;209880;0;6.00;6.88;0.00;-100.00
04/10/2019;21670;0;0.62;0.71;0.00;-100.00
04/11/2019;9580;0;0.27;0.31;0.00;-100.00
04/12/2019;60520;0;1.73;1.99;0.00;-100.00
04/13/2019;97270;0;2.78;3.19;0.00;-100.00
04/14/2019;58950;0;1.69;1.93;0.00;-100.00
04/15/2019;220250;0;6.30;7.22;0.00;-100.00
04/16/2019;187480;0;5.36;6.15;0.00;-100.00
04/17/2019;65450;0;1.87;2.15;0.00;-100.00
04/18/2019;39990;0;1.14;1.31;0.00;-100.00
04/19/2019;245570;0;7.02;8.05;0.00;-100.00
04/20/2019;236430;0;6.76;7.75;0.00;-100.00
04/21/2019;214840;0;6.14;7.05;0.00;-100.00
04/22/2019;129310;0;3.70;4.24;0.00;-100.00
04/23/2019;225510;0;6.45;7.40;0.00;-100.00
04/24/2019;230500;0;6.59;7.56;0.00;-100.00
04/25/2019;140890;0;4.03;4.62;0.00;-100.00
04/26/2019;248250;0;7.10;8.14;0.00;-100.00
04/27/2019;31680;0;0.91;1.04;0.00;-100.00
04/28/2019;190740;0;5.45;6.26;0.00;-100.00
04/29/2019;50860;0;1.45;1.67;0.00;-100.00
04/30/2019;32640;0;0.93;1.07;0.00;-100.00
05/01/2019;79410;0;2.27;2.60;0.00;-100.00
05/02/2019;61970;0;1.77;2.03;0.00;-100.00
05/03/2019;132730;0;3.79;4.35;0.00;-100.00
05/04/2019;189260;0;5.41;6.21;0.00;-100.00
05/05/2019;179440;0;5.13;5.89;0.00;-100.00
05/06/2019;136770;0;3.91;4.49;0.00;-100.00
05/07/2019;184920;0;5.29;6.07;0.00;-100.00
05/08/2019;36890;0;1.05;1.21;0.00;-100.00
05/09/2019;71270;0;2.04;2.34;0.00;-100.00
05/10/2019;214890;0;6.14;7.05;0.00;-100.00
05/11/2019;110710;0;3.16;3.63;0.00;-100.00
05/12/2019;118290;0;3.38;3.88;0.00;-100.00
05/13/2019;250130;0;7.15;8.20;0.00;-100.00
05/14/2019;196100;0;5.61;6.43;0.00;-100.00
05/15/2019;213610;0;6.11;7.01;0.00;-100.00
05/16/2019;89200;0;2.55;2.93;0.00;-100.00
