Date;"Total Yield in Wh";"Target Yield Wh";"Specific Yield kWh/kWp";"Difference Target / Actual %"
01/01/2022;40;0;0.00;-100.00
01/02/2022;1470;0;0.03;-100.00
01/03/2022;1510;0;0.03;-100.00
01/04/2022;920;0;0.02;-100.00
01/05/2022;1240;0;0.03;-100.00
01/06/2022;1800;0;0.04;-100.00
01/07/2022;3100;0;0.07;-100.00
01/08/2022;870;0;0.02;-100.00
01/09/2022;3560;0;0.08;-100.00
01/10/2022;3750;0;0.08;-100.00
01/11/2022;3530;0;0.08;-100.00
01/12/2022;3980;0;0.09;-100.00
01/13/2022;14980;0;0.32;-100.00
01/14/2022;14030;0;0.30;-100.00
01/15/2022;56890;0;1.22;-100.00
01/16/2022;35710;0;0.77;-100.00
01/17/2022;44530;0;0.95;-100.00
01/18/2022;56930;0;1.22;-100.00
01/19/2022;99840;0;2.14;-100.00
01/20/2022;106640;0;2.29;-100.00
01/21/2022;106640;0;2.29;-100.00
01/22/2022;100690;0;2.16;-100.00
01/23/2022;2480;0;0.05;-100.00
01/24/2022;170;0;0.00;-100.00
01/25/2022;860;0;0.02;-100.00
01/26/2022;1160;0;0.02;-100.00
01/27/2022;1070;0;0.02;-100.00
01/28/2022;2860;0;0.06;-100.00
01/29/2022;2050;0;0.04;-100.00
01/30/2022;3680;0;0.08;-100.00
01/31/2022;720;0;0.02;-100.00
02/01/2022;49670;0;1.06;-100.00
02/02/2022;46950;0;1.01;-100.00
02/03/2022;104560;0;2.24;-100.00
02/04/2022;54770;0;1.17;-100.00
02/05/2022;66360;0;1.42;-100.00
02/06/2022;89290;0;1.91;-100.00
02/07/2022;131310;0;2.82;-100.00
02/08/2022;96000;0;2.06;-100.00
02/09/2022;34660;0;0.74;-100.00
02/10/2022;76100;0;1.63;-100.00
02/11/2022;40510;0;0.87;-100.00
02/12/2022;139900;0;3.00;-100.00
02/13/2022;145380;0;3.12;-100.00
02/14/2022;99570;0;2.13;-100.00
02/15/2022;98420;0;2.11;-100.00
02/16/2022;12570;0;0.27;-100.00
02/17/2022;35610;0;0.76;-100.00
02/18/2022;121620;0;2.61;-100.00
02/19/2022;127350;0;2.73;-100.00
02/20/2022;143730;0;3.08;-100.00
02/21/2022;28670;0;0.61;-100.00
02/22/2022;7450;0;0.16;-100.00
02/23/2022;108750;0;2.33;-100.00
02/24/2022;46250;0;0.99;-100.00
02/25/2022;8710;0;0.19;-100.00
02/26/2022;107370;0;2.30;-100.00
02/27/2022;161540;0;3.46;-100.00
02/28/2022;146610;0;3.14;-100.00
03/01/2022;110780;0;2.38;-100.00
03/02/2022;66930;0;1.44;-100.00
03/03/2022;121980;0;2.62;-100.00
03/04/2022;100580;0;2.16;-100.00
03/05/2022;49190;0;1.05;-100.00
03/06/2022;70100;0;1.50;-100.00
03/07/2022;1910;0;0.04;-100.00
03/08/2022;58710;0;1.26;-100.00
03/09/2022;182940;0;3.92;-100.00
03/10/2022;130530;0;2.80;-100.00
03/11/2022;182390;0;3.91;-100.00
03/12/2022;202530;0;4.34;-100.00
03/13/2022;181010;0;3.88;-100.00
03/14/2022;127850;0;2.74;-100.00
03/15/2022;157190;0;3.37;-100.00
03/16/2022;167800;0;3.60;-100.00
03/17/2022;32000;0;0.69;-100.00
03/18/2022;22700;0;0.49;-100.00
03/19/2022;71120;0;1.52;-100.00
03/20/2022;185210;0;3.97;-100.00
03/21/2022;147010;0;3.15;-100.00
03/22/2022;11970;0;0.26;-100.00
03/23/2022;34540;0;0.74;-100.00
03/24/2022;46250;0;0.99;-100.00
03/25/2022;53970;0;1.16;-100.00
03/26/2022;98810;0;2.12;-100.00
03/27/2022;222230;0;4.76;-100.00
03/28/2022;209660;0;4.50;-100.00
03/29/2022;66080;0;1.42;-100.00
03/30/2022;22810;0;0.49;-100.00
03/31/2022;1610;0;0.03;-100.00
04/01/2022;149280;0;3.20;-100.00
04/02/2022;13760;0;0.30;-100.00
04/03/2022;174530;0;3.74;-100.00
04/04/2022;44300;0;0.95;-100.00
04/05/2022;121670;0;2.61;-100.00
04/06/2022;3030;0;0.06;-100.00
04/07/2022;0;0;0.00;-100.00
